tweet,hatespeech
Ê lá em casa https://t.co/rAHYwfvkAx,0
@a_angioletti @JOAQUINVOLTOU DEIXA EU ADIVINHAR...PÉSSIMA RELAÇÃO COM O PAI? GORDA FEIA SEQUER ASSEDIADA POR ALGUÉM?ACHO QUE OS DOIS HEIN...,1
aaaaaaa eu quero falar no meu trabalho sobre refugiados mas não sei se vou conseguir,0
"Aaaaaa Turma de 9 homens e eu, o prof fala de cabo sapatão (conector femea femea) e todo mundo olha pra mim",1
A afronta aos portugueses não pára!https://t.co/mGEV4CjFRP#RenovarPortugal #PNR #Portugal #Imigração https://t.co/26j98jdIYH,0
A agência LiveAD São Paulo adquiriu 40 exemplares do livro MeuAmigoSecreto: Feminismo além das redes para... https://t.co/DleQjLxvym,0
A Alemanha tornou a sentir os “benefícios” dos (i)”migrantes” da invasão islâmica. https://t.co/uG82badvys,1
"A 1a mão foi no Dia dos Namorados,a 2a calha no Dia da Mulher.O Benfica-Dortmund foi criado para testar os relacionamentos dos benfiquistas",0
"A ameaça do terrorismo radical islâmico é bem real, veja o que acontece na Europa e no Oriente Médio. Os tribunais _ https://t.co/cyd14kyXY0",0
A AMPLA MAIORIA SÃO UNS RETARDADOS SÓ FALAM MERDA E SÓ GANHAM FAMA PORQUE OS JOVENS SÃO COMO ELES: DÉBEIS MENTAIS _ https://t.co/b3WqRv4cww,1
@aapbatista Ora bem... já está a perder a linha. O verniz dos 'tolerantes' acaba sempre por estalar.,1
A atenção finalmente está voltada aos infiltrados desocupados! Eles serão pegos! https://t.co/lGSLTh3AKd,0
"A avaliar pela quantidade de malta conhecida que morreu em 2016, o 'In Memoriam' deste ano é coisa para durar umas 9 horitas na boa#Oscars",1
"Abaixo, apenas alguns exemplos de manifestação a favor do direito ao orgulho hetero.",0
"A bazófia de Jesus é tão grande que, para não assumir os seus erros, até abafa o Palhinha!...",1
"abdnsndnns ela vai sair de burca pra não mostrar a cara, não quero ninguém encima dela https://t.co/dpXDrPu39E",1
Aberração é um adulto impor às crianças a flácida relação da ideologia de gênero: Nada é o q parece ser. #nãoàideologiadegênero,1
Abertas as inscrições III Festival de Dança que acontecerá em abril na Estação Cabo Branco https://t.co/q2WbjEvwap,0
Abismo da desigualdade e injustiça. @jpintocoelho60 https://t.co/rbVSxVDliB#PNR #RenovarPortugal #Portugal,0
"A bomba encontrada na Nazaré foi logo detonada, já a do Panamá está quase há um ano, no Expresso, à espera da brigada de minas e armadilhas.",0
Aborto é crime repugnante contra uma vida tão frágil e indefesa. https://t.co/rswGU7YS2H,0
"abri a janela tava uma gorda no apartamento da frente olhando pra baixo e chorando, acho que caiu a empadinha dela",1
@abstrusivo heueheueheu eu fiquei achando que o branco era arroz tb mas não faço ideia (e olha que gosto de açaí),0
A Burra da mulher esqueceu o celular no ônibus e ta chorando aqui no busão queria não rir,1
"Acaba de chegar a Redacao da Radio Angola a seguinte informacao:Pedro Gonga: Já Estou em Liberdade, mas não foi... https://t.co/fkAShQaBVa",0
Acabámos de adicionar mais uma data à tour de 'Overdose de Tourette':11 Fev -  Covilhã.Bilhetes aqui:https://t.co/NeiqhncuJp,0
Acabámos de adicionar mais uma data à Tour 'Overdose de Tourette':24 Fev - Ericeira.Bilhetes na FNAC e aqui: _ https://t.co/2zTqP5irCM,0
Acabei de comemorar o dia Internacional da Mulher... lavando a louça!#DiadaMulher,0
Acabei de fazer esses casos para minha cunhada vascarpim ..Minhas férias estão rendendo arte.  Rsss https://t.co/zK8yKtycfV,0
Acabei de ouvir uma cigana dizer q 'os chineses são um povo sujo e sem higiene q vive e dorme em qualquer lado'.O cliché morreu hj às 16h09,1
Acabei de ouvir um casal com rastas dizer isto:'As pessoas passam por nós e dizem que cheiramos mal...pffff...elas é que cheiram a champô!',0
acabei de pagar 20 reais em um carregador pq esqueci o meu. já começando o dia se sentindo a mulher mais burra do brasil,1
Acabo de nomear o general H.R. McMaster como Conselheiro de Segurança Nacional. https://t.co/iEsaOS0yfG,0
A cada 'feliz dia da mulher menos pra feminista' eu vejo o quão burra é a sociedade,1
A cadeira com o copo certamente é do lula https://t.co/cNGQ6nRgYy,1
A caminho da Base Militar Andrews com o Primeiro Ministro Shinzo hoje mais cedo. https://t.co/0YAUn4dMKJ,0
A campanha continua...#EducacaoSemIdeologiaDeGenero.https://t.co/O6DVICQISp .Acesse e adquira dois livros de... https://t.co/0BvDHJMUm7,0
A CARA DA FEIA DA VIVIAN E DA GORDA DA ROBERTA SÃO AS MELHORES COISAS ESSE MOMENTO EH MEU #BBB17,1
a cara da gorda feia da Roberta #bbb17,1
Acções do #PNR #Oeiras e #Cascaishttps://t.co/dIjJz60vAO#RenovarPortugal #Portugal https://t.co/MuhqghYZTR,0
"Aceitei trocar o Benfica por um jantar romântico com a minha namorada, desde que ela pagasse a gasolina. Amanhã, lá estarei na Catedral.",0
ACEITE OS CHIFRES#JoaquinResponde https://t.co/2wOKNG11RS,0
"A censura democrática é a pior delas todas porque é arbitrária, hipócrita e cobarde. Finge não existir, mas existe!https://t.co/fdEjtgOx1P",0
Acham que ser BANDIDO é ser machista ? to entendendo a logica feminista agora. Toda atitude de bandido cometido por _ https://t.co/QwuTyA0KWB,0
achei essa pagina https://t.co/yoVjMs2Zz0,0
"Achei um cabelo branco, sinto que os anos de tintura estão chegando.",0
acho engraçado que vcs falam mal do Ustra mas idolatram Che,0
"Acho irónico que uma mulher que ajudou a NASA a andar para a frente, esteja numa cadeira de rodas#Oscars",1
Acho mal que não tenham metido a carreira da Bárbara Guimarães neste 'In memoriam'#Oscars,0
Acho mó engraçado o galero que tenta chamar atenção fznd piadinha burra sobre o dia da mulher,0
"Acho muito legal as feministas que compartilham coisa do quebrando o tabu e chamam as outras de gorda, feia e briga por macho, parabéns p vc",1
Acho q a menina do restaurante da frente é sapatão kkkkkk fica me olhando,0
Acho que agora ela se perdeu de vez..Kkkkkkkkk que dó.... https://t.co/gt6t4iRyYv,0
"Acho que a Morango tem um céu so pra ela rsrs @angelicamorango @biaibelieve Nossa, eu tô em Sampa! Aqui n B Vista tá nubladim e meio frio...",0
acho que a Simone depende mais do natal pra sobreviver que o Papai Noel,1
Acho que a veja aceitou que realmente não faz jornalismo https://t.co/x6gmv70CuS,0
"acho que meu sono resolveu desaparecer junto com o meu dinheiro, espero um dia tê-los de volta",0
acho que nem vou gozar mais até #ESeFosseConsigo,0
acho que o cara da redação do Enem deveria perder pontos pq não ficou claro o sabor do miojo,0
Acho que tatuagem colorida só fica bonito em gente muito branca!!!,0
Acho que vou... ai que preguiça de dormir... xerus!,0
Acho que vou pegar carona com a @agdabritto e mimir,0
"ACHO RIDÍCULO, MAS RESPEITO, NÃO SOU HOMOFÓBICO https://t.co/gC4L1yJ1ls",1
"'Acho seus argumentos ridículos, não mudarão minha opinião, mas eu não consegui refutar nem uma linha'Resumo: 'Eu _ https://t.co/c3bWKt8lEx",0
A cidade de Viseu já está preparada para nos receber na 5a feira.Despachem-se a garantir a vossa presença.Vai ser _ https://t.co/dPMZ8ppmrP,0
"A @cidade e a @sicradical são desde hoje,os nossos parceiros de media oficiais.Isso significa conteúdos exclusivos _ https://t.co/DlkMFBCSk3",0
"Acima de tudo, uma vitória esmagadora da classe https://t.co/s9lvC87ILS",0
"08:41 #ações_preventivas local Castelo Branco, Centro, #Abelardo_Luz, descrição: atividade tecnica (vistorias)",0
A coisa q mais me da odio na vida é mulher machista. Qnd escuto alguma falando merda fico com mt abuso - pq odeio gnt burra e ignorante tb,1
A Comissão Europeia afirmou que não hesitará em aplicar sanções contra os países que se recusam a receber... https://t.co/8h6HFv3dIj,0
"Acompanhe minhas agendas sobre Ideologia de Gênero, em todo País. https://t.co/9ge0LwyJZg",0
Acorda pra trabalhar ae cambada de vagabundo,1
Acordar e ler uma notícia dessas.Isso não é mãe é um monstro. Que inversão de valores meu Deus. https://t.co/PqDNEmYu1J,0
@AcordouAcordou quer defender os amigos BANDIDOS e CORRUPTOS do partido. Como podemos aceitar isso sem ficar P da v _ https://t.co/4uh8VS30YN,1
"A corrida pela liderança do CND foi obviamente 'armação'. A escolha de Bernie, como ele próprio, nunca teve chance. _ https://t.co/K1Je1TMVPv",0
a cota de negro aumentou nesse BBB né,1
A CP está a recrutar revisores e um dos requisitos é saber falar espanhol.Talvez fosse mais importante contratar pessoas que saibam crioulo,1
Acredite se quiser: Existe agora 'agefluid' - faz parte da ideologia de gênero provavelmente - que faz parte do ati _ https://t.co/B2YNzJmzTk,0
A @crfjaque prova: não importa se Jair não é preconceituoso. É apenas + 1a q se enquadra na moda atual de difama-lo _ https://t.co/W67nzOsYsn,1
A CRIMEIA foi ocupada pela Rússia durante o governo Obama. Será que Obama foi muito bonzinho com a Rússia? https://t.co/zQowSdLe9r,1
ACTUALMENTE AQUELE RETARDADO QUE DEITOU NUMA BANHEIRA DE NUTELA #JOAQUINRESPONDE https://t.co/JdCLqC5zmY,1
a culpa do brasil estar do jeito que tá é única e exclusivamente da dilma,0
A culpa é das estrelas vermelhas https://t.co/5R8Thlv1b8,0
A culpa é de não ter tirado antes,0
"Acusações de estupro, assédio ou agressão podem arruinar a vida de um homem'.Ata. https://t.co/4jdeA8hRcO",0
@AdemirAlvim eu tenho conhecimento dessa doutrinação nas escolas... Uma triste realidade no Brasil e no mundo!,1
@AdemirAlvim vdd... nem conheci mas já dei block.... pessoa assim quero longe,0
Ades patrocina nova versão da Branca de Neve http://t.co/vWxZjXNw4y,0
Adeus #Obama! 'Faça boa viagem!'. https://t.co/B0CASUcZtH,0
Adicionei um vídeo a uma lista de reprodução do @YouTube https://t.co/tUcZqbRpPN Angola & China vs EUA (A verdade que você não,0
Adicionei um vídeo a uma playlist @YouTube https://t.co/7hLCvlxwOz 'Islão não é para mim',1
A diferença de quem tem vergonha na cara vs vagabundo https://t.co/mi282DMTSe,0
"A diferença entre os Tribunais e as Comissões Parlamentares é que nestas últimas, como não há pobres, nunca há ninguém para condenar...",0
@adiosiago @amandassini eu acho o msm sobre vc branquelo,1
@adiosiago @amandassini quando branco acha que racismo é coitadismo só me dá mais vontade de continuar com o perfil,1
@adiosiago @amandassini vc quer q eu te chame de q? palmito?,0
Adivinha qual a esquerda demoniza e qual a esquerda apoia? https://t.co/lmknzzuwLo,0
"adorando essa cerimônia, só nao to entendendo esses monte de país subdesenvolvido no meu estádio",0
"Adoro essa energia daqui. Não gosto de lembrar que vou trabalhar no feriado. Mas, gosto de ter emprego. Então tá ótimo.. rs.",0
"Adoro essa frase: 'Viva os loucos, os normais estão acabando com o mundo' #fikdik rs...",0
Adoro estes católicos que se lembram da bíblia e Deus quando é para serem homofóbicos mas depois só o Islão é que é religião de violência,1
ADQUIRA AGORA o livro 'A IDEOLOGIA DE GÊNERO NA EDUCAÇÃO - Como esta doutrinação está sendo introduzida nas... https://t.co/emXSsysshG,0
"Adquira seu cupom pra dar pro clube do macho. Antes eram 4hs de chibata, agora são 8!! #BlackFriday",0
Advogado e Deputado? Não pode ser!https://t.co/UxhKlE2Ks0#PNR #RenovarPortugal #Portugal,0
"Advogados ABANDONAM a tal moça que acusou Feliciano de abuso...Agora a tal moça,ataca outros deputado, procurador... https://t.co/O9WcUD3wU4",0
A e antes de voltar ao mais importante e abrir a minha cerveja matinal: Foda-se !,0
#AecioMaisCItadoQue Bolsonaro em discussão sobre idiotas e homofobia :D,0
aeeeee dilma caiuja posso viajar pra miami agora?,0
"A Emma Stone podia ir vestida de saco de lixo rodeado de sacos do lixo dentro de um camião de lixo, que nunca estaria mal#Oscars",0
A entrevista mais longa do Super Bowl com @oreillyfactor hoje à noite às 8:00 PM (0:00 [BR]). Divirta-se! https://t.co/2wVSIjP7oI,0
A era em que 'homens' começam a usar cor de rosa https://t.co/3Cfl9aoHmO,1
Aeroporto Mário Soares só faria sentido se fosse na Ota ou em Macau...,0
"A esquerda é assim, lamenta a morte de bandidos mas diz 'matou pouco' pra genocidas. Depois do 'Stalin matou foi po _ https://t.co/g2rItoeyTF",1
A esquerda em uma palavra? Sujeira. Defendem uma ideologia sanguinária e culpam um sistema que eles mesmo usam. São _ https://t.co/d44ggIe2zI,1
A Esquerda é o próprio Zumbi dos Palmares:Quer libertar os negros de uma escravidão pra escraviza-los em outra https://t.co/c1XOaNIPmI,1
A esquerda está morrendo de um Câncer terminal https://t.co/qcH8FkSNKh,1
"A esquerda fala muito sobre essas rebeliões e justificam a 'superlotação', mas não fala do motivo que fizeram eles irem pras prisões.",0
A esquerda faz um monte de merda e a gente é obrigado a ver a mídia chamando a direita de extrema ...,0
A esquerda filha da puta como sempre https://t.co/CbHw2V9dOB,1
"A esquerda gosta de viver na sujeira, gosta do feio e idolatra a burrice. Pichação não é arte, é coisa de vagabundo _ https://t.co/pRkOnzBSTQ",0
"A esquerda inventa o problema, incute na cabeça das pessoas que o problema existe, repete a mentira até que acredit _ https://t.co/v9m5h7Gc6z",0
"A esquerdalha #comunista e #anarquista sempre foi, é, e será uma escumalha selvagem, carregada de ódio e violência _ https://t.co/AwYQKfgj35",0
"A esquerdalha (protegida pelo sistema e pelos media), no seu melhor, a mostrar a tolerância que defende.#Nantes _ https://t.co/tMqoRAsR5x",1
"A esquerda reclama das coisas inventadas pela própria esquerda:Racismo, homofobia, machismo, nazismo, cultura de estupro e luta de classes.",0
A  ética da imprensa regional contrasta com o cartel da comunicação social de alcance nacional.Felicito o _ https://t.co/Y7oD6CcInV,0
"A Europa, muito doente e submissa a estes espectáculos de mariquice nojenta, claro que se torna presa fácil do Islã _ https://t.co/BIAymMELN1",1
A fdp não come carne e quer q vc tb não coma. Chupar meu pau ela não quer,1
"6a feira é dia de 'Overdose de Tourette'.E hoje a caravana pára na ERICEIRA.Auditório Jaime Lobo e Silva, 22h.Is _ https://t.co/CrTfw7LA9h",0
A feminazi @lolaescreva tem a cara de pau de pedir dinheiro em seu blog - mesmo ganhando uma boquinha de 11 mil - v _ https://t.co/XH24MvyqxB,1
"a feminista pode até dar a alma dela no primeiro encontro, mas por favor  #usecamisinha , seja uma puta consciente!",1
A @FernandaLimaBah e seu programa de sexo acham um absurdo as famílias não falarem abertamente de sexo em casa. Até pq ela certamente...,0
A Festa do Branco é um evento que promete marcar  o Cruzeiro Diamantes 2017. Aqui estão algumas inspirações: _ https://t.co/sZyln0lwQt,0
Afffffff só por Deus eu te que fica olhando a funça da atual dá minha ex,1
Afff... N te dou mais nada http://t.co/hyBYnjtrab,0
aff pq vc pinta o cabelo........td mundo sabe q vermelho e loiro só fica bom em tom de pele clara,1
Aff só por que não tem negro no oscar agora eles sao racista........ pfvr miga melhore,0
"Afinal a Constituição da República feita por estes senhores, serve para quê? É para ser violada?https://t.co/JuaODQaZmS",1
"afinal, a privatização do ensino médio/superior brasileiro e o fim dos projetos sociais que ajudam milhões é o que vai levantar o país",1
AFINAL O TIME DO PRESÍDIO PRECISA DE GOLEIRO... https://t.co/wPxhSyvGDK,0
A força do sonho @jpintocoelho60 https://t.co/4jGTaKM9gQ,0
A forma como você se vê não altera o que você é de fato! https://t.co/F1vbtmfKGs,0
"@agdabritto Ixi, amiga.. marron.. marromenos.. termino de namoro, foda ne",0
"@agdabritto Nem eu, amiga.. nem eu. e como ela diz: #eavidasegue",0
"@agdabritto ooowwww, amorrr, ja chegou???",0
@agdabritto Quero saber tudooo como foi o diaaaa!,0
"@agdabritto Sei lá, inventei agora.. #catita hahaha",0
@Agenda #Abril. Seminário sobre Ideologia de Gênero.(Com certificado) 08 e 09 Abril. #Ariquemes/RO. https://t.co/9FWPfwGNRv,0
Agenda actualizada para os próximos meses:https://t.co/vvezwg8Gx2,0
"#Agenda 11,12 e13 de Março/SP. #CongressoEvangelizarKids Informações:Igreja Batista do Povo, _ https://t.co/vpReD2R1W1",0
#AgendaMaio  Palestra sobre identidade de gênero.(Ideologia de Gênero) #SãoLuizMaranhão https://t.co/6dWIFPYWkN,0
#Agenda Março 18 e 19. Simpósio sobre Ideologia de Gênero.,0
Agenda Março . Ideologia de Gênero. https://t.co/vhpKZjqQJD,1
Agenda para os próximos tempos.Bilhetes na FNAC e Ticketline https://t.co/IBtRKfrgJD,0
Agenda #SãoPaulo 11/03. Congresso Evangelizar KIDS. Igreja Batista do Povo. https://t.co/4nSFGR5Fal,0
Agendas dias 18 e 19 de Março em #Campinas/SP. Simpósio de Ideologia De Genero e Cultos familiar.,0
"Agende seminário ou palestras para liderança, jovens e igreja geral sobre Ideologia de Gênero. Com 5 livros... https://t.co/XmSL8gDa8l",0
a gente mulher e um ser humano mais burra acreditar que ainda possa.  ter amor verdadeiro,0
"a gente nao sabe se a mulher ta feliz de burca, nao sabe se é tranquilo p travesti ta com aquela roupa etc etc etc",0
@AgenteRusso o cara que escolhe foto é muito fanfarrão,0
A @gleisi fazer greve...não trabalhar..É um alívio para o BRASIL... já que ela só faz atrapalhar o país mesmo. Devo _ https://t.co/EzKOlbn8YF,1
"A globo mentiu para o futebol feminino. E a mulherada, como sempre iludida, acredita. Tudo normal",1
"A #globo só mostra as 'belezas e o amor' do carnaval.Mas, se quer saber a verdade, liga na @recordtvoficial que está mostrando tda Violência",0
A Gloria Alvarez arrebenta!O discurso dela na CPAC 2016 foi sensacional! https://t.co/FVD2M4GBye,0
@agnaldoregojr 2) O fato de o cidadão de bem passar a portar uma arma não o transformará em bandido.Crime é questão de índole!,0
"Agora deu 'tilt' no @Ricamconsult , a AMEBA que teve a cara de pau de comparar Trump com Hugo Chavez. https://t.co/G24QMKa7Be",1
agora é oficial: os dinossauros estão extintos,0
Agora é só umas gordas feias pra caralho,1
Agora não entendo mais nada branco não pode namorar com negra ? Ue ? Mais vão termina o colégio e pega uma vaga no Mac!!! Valeu,1
"Agora os novos refugiados já não são por causa da guerra, são até chamados 'refugiados económicos ', como sempre foram, não fugiram de nada",0
Agora pareço aqueles gajos que se viram para as fufas e dizem que ela são fufas pq nunca experimentaram pila (????????) Lol,1
agora que a dilma vai sair quem assume é o aécio né??,0
"... Agora refugiados com uma ideologia e Cultura completamente INCOMPATÍVEIS com as nossas, aí não tem como mesmo!",1
agora sim esse latinos imundos vão parar de tentar entrar nos EUA #Trump,1
Agora sim está correto @pecesiqueira abraço #paz https://t.co/DUoMBeWwqu,0
AGORA SIM EU ASSUMO http://t.co/UzOwKrxdOy,0
Agora sim @homemdeverdade pode usar perfume - http://www.youtube.com/watch?v=_wx6DP99bYE,0
"Agora sim LISBOA, estamos prontos para começar https://t.co/JJdLm8R2oO",0
Agora tá na moda colocar a culpa nos países do OM. Não se engane e aos outros.Quem produziu REFUGIADOS foram EUA e OTAN @AbrahoCavalcant.,0
agora tudo é apropriação cultural não pode nem usar turbante mais,0
agora tudo faz sentido https://t.co/gAkF8IbNea,0
Agora vc pensa: Uma cidadã que não cuida da sua própria filha querer impor em sala de aula o que deve ser ensinado ao meu filho? Um absurdo.,1
Agradece-se esse empurrão vindo do outro lado do Atlântico para dar o golpe de misericórdia na famigerada @uniao_europeia #BREXIT #PEXIT,0
A grande imprensa e a população esquerdista mostram o quão democráticos são ao sequer deixar Trump COMEÇAR a trabalhar!,0
A grande questão aqui é por que há tantos furos ilegais vindo de Washington? Haverão estes furos quando eu negociar _ https://t.co/VWfbJSbcoR,0
A greve dos Estivadoreshttps://t.co/EcYwmGj8Aq#RenovarPortugal #PNR,0
Aguarela com muitos anos.#Salazar https://t.co/n00XTL4AiC,0
água ser essencial é coisa de maricas. Cerveja é essencial !,1
"ahahaha ..as musas de direita destroem qualquer petista, como a gleisi hoffman https://t.co/1eHxXa6cNB",0
A hipocrisia esquerdista em sua mais alta essência aqui. Somos nós que temos ódio @fernandaemelo? VAI DAÍ PORRA https://t.co/Rchflhftvg,1
ah lá o filho do porteiro passou no enem,0
"'ah mas artista tal eh gorda, ela eh feia. tem tanto dinheiro e n melhora' TE FODE GAROTA NÃO EH PQ ELA EH FAMOSA Q ELA TEM Q SER PERFEITA",1
"Ah, o perigo do Islão, e tal, e a civilização europeia, e não sei quê. https://t.co/GBJPgWqhYO",0
"Ah, porque o nacionalismo deste gajo é económico e é tão económico quanto o do PCP. Com a diferença de o PCP não querer Angola de volta.",0
"Ah, valente! E para a mortalidade infantil em Angola, não vai nada, oh isabel? https://t.co/q7yFNtpRVC",0
"'Ah você não tem dó dos presidiários'Deles não tenho mesmo não, tenho das vítimas que fazem.",0
A identidade não se vende https://t.co/0FBKzmmuCV,0
A ideologia de gênero chegou no seu mais alto grau de insanidade. Qual é sua identidade de gênero? ALIENÍGENA..OK... https://t.co/FGLJ5hbm68,0
"~ Ai, fiz 1 piada sexista e machista mas não sou nada disso, vc que é burra e não tem senso de humor ~ FELIZ DIA DA MULHER",1
"“ai, luigi, mas vc ta militando? q saco”.pois é pq eu entendo os privilégios que eu tenho por ter nascido homem branco",1
A imagem que define o que são esquerda e direita:Esquerda = vagabundo mascarado.Direita = patriota com a bandeir _ https://t.co/yDs4P8MdA4,1
Ai meu deus como é bom ser vida loka,0
A imprensa sempre do lado dos bandidos. Pra quem ainda tinha alguma dúvida:https://t.co/k541HxiCN3,0
"Aí não é ''suspeito'', né seus VAGABUNDOS!?!! É 'comprovado'. Mas se for bandido ATIRANDO contra PM em carro ROUB _ https://t.co/aj3PkB9oBH",1
"Ainda a propósito do @sosracismo e afins, aqui ficam palavras alguém do próprio sistema: Pacheco Pereira. _ https://t.co/jQQD7yyJOu",1
Ainda bem q ontem a FIFA n atribuiu o prémio 'fair-play' à Chapecoense.Temos de parar de premiar equipas cujos jogadores se atiram p o chão,0
ainda bem que eu sou sapatão e não preciso disso,0
"ainda bem que o crivella ganhou, imagina só o rio com droga legalizada, sem PM e aborto liberado???",0
Ainda bem que o STF soltou o goleiro BRUNO.. agora sabemos a FALTA de moral que tem.... caso do Bolsonaro é mais uma piada do STF #vergonha,0
ainda bem que o trump ganhou imagina só o mundo sem nenhuma guerra e preconceito???? nossa muito chato NÓS QUER É BOMBA NA COREIA,0
ainda estou surpreendida com a cara de sapatão dessa camilinha https://t.co/yGYxHrvIl8,1
Ainda não acredito que não estarei em #Recife dia 24/07 no #oquartosecreto com a @angelicamorango. Serio! Saco! #boloderolofeelings,0
"ainda que eu falasse a lingua dos homens e dos anjos, usaria ambas pra denegrir sua imagem",0
ainda tem tráfico pq tem gente que comprase a compra voltasse a ser crime tudo estaria em harmonia,0
"'ain mas de repente nem foi assim'. Mano, pq vcs acham q eu postei isso sem ler o texto? É um apelo à meritocracia q nem diz o título.",0
"- 'Ain o Dória está indo bem nesse últimos 2 meses,se ele candidatar para presidente pelo PSDB em 2018 votaria nele _ https://t.co/0Y3fFPk7Bm",0
A internet é nossa! As Feministas/e cia infiltradas nos órgãos da Justiça buscam combater essa crescente por meio da censura via justiça.,1
A intoxicação e mariquice mental da ditadura do relativismo anulam os valores e enfraquecem as vontades. Depois são _ https://t.co/qva99FyYk9,0
Ai q gostoso a Cléo Pires fumando um e publicando na NET pq o privilégio branco e de classe eh tão lindo *_* https://t.co/fXQslfyu57,0
ai que saudade da ditadura............,1
ai socorro jesus deixa essa mulher no programa por favor só pra gente ouvir ela botar conceitos físicos na cozinha #MasterChefBR,0
ai tem muito preto no bbb nem vo assistir kkk,1
Aí #TheWalkingDead deixa de ser sobre zumbis e vira jogos mortais,0
Ai vc chega no colegio super cansada do trabalho e curso e encontra o grupinho das sapatao falando de ex. Se uma coisa que sapatao tem é ex.,1
A @jublackpower é sensacional!,0
@ajulysantos e era de direita.... essa menina tem transtorno de personalidade ou algo pior...,0
"@ajulysantos isso! A mulher não precisa ser obrigatoriamente feminista para ser mulher , porque a maioria não comp _ https://t.co/8NjZxoMtV5",0
@ajulysantos isso é coisa de seres humanos!,0
"@ajulysantos Ju, você tá mais corada! Andou pegando uma praia!!!",0
@ajulysantos me senti segura nesse dia  https://t.co/UzcdIOTIYc,0
"@ajulysantos nao esqueça que ele quer receber refugiados de guerra, vai islamizar o brasil",1
@ajulysantos Novo filme: 'O Curioso Caso de Quem Sempre Atacou A Igreja Católica e o Cristianismo Mas Agora Defende o Papa Francisco',0
@ajulysantos Pra ser mulher hoje em dia e aguentar o movimento feminista...tem que ser muito macho. kkkkk,1
"@ajulysantos que nada, aqui na quebrada a molecada é arisca hahahahaha",0
@ajulysantos que não é caso da brasileira..porque com 5 kg de cocaína..é o peso de um bulldogue frances,0
A Justiça tem que estar ao serviço de todos e não à mercê de privilégios de uns quantos.@govpt @antoniocostapm https://t.co/s4IjrxP8vM,1
ALÔ FEMINISTA:ATÉ A PORTELA VOLTOUE O SEU PAI NADA,1
ALÔ FEMINISTASATÉ #JesusEstáVoltandoE O SEU PAI NÃO,1
ALÔ FEMINISTAS:ATÉ UM SISTEMA SOLAR RESOLVEU APARECERE O SEU PAI NADA https://t.co/ysRnqpzvOX,1
ALÔ RAPAZIADA HORA DE DESLIGAR DA REDE SOCIALAGORA É SABADÃO: CHURRASCÃO CERVEJÃO E MAIS TARDE PRATICAR AQUELE COITO. ABRAÇO A TODOS #PAZ,0
